Song,Date,Number of Plays
last,2022-09-23,1817
first,2022-09-20,1586
third,2022-09-26,1877
last,2022-09-26,1349
third,2022-09-20,495
second,2022-09-18,1082
last,2022-09-22,1777
last,2022-09-21,1022
last,2022-09-24,768
forth,2022-09-27,1731
forth,2022-09-21,769
first,2022-09-19,774
first,2022-09-26,1749
third,2022-09-20,1624
second,2022-09-18,217
third,2022-09-23,1469
third,2022-09-19,279
third,2022-09-22,538
forth,2022-09-22,1240
forth,2022-09-25,206
second,2022-09-27,1932
last,2022-09-26,363
last,2022-09-25,985
second,2022-09-24,427
third,2022-09-25,1617
second,2022-09-20,57
third,2022-09-18,36
last,2022-09-24,665
last,2022-09-25,1522
last,2022-09-25,1345
first,2022-09-25,1916
first,2022-09-24,490
first,2022-09-25,1347
second,2022-09-24,291
third,2022-09-26,510
second,2022-09-19,62
first,2022-09-20,1039
last,2022-09-27,941
last,2022-09-25,215
forth,2022-09-25,120
forth,2022-09-18,1075
last,2022-09-22,1889
last,2022-09-24,1001
forth,2022-09-20,1815
last,2022-09-20,118
second,2022-09-20,519
first,2022-09-23,278
forth,2022-09-20,390
third,2022-09-20,1511
first,2022-09-21,129
third,2022-09-20,136
last,2022-09-26,15
forth,2022-09-24,738
third,2022-09-26,333
first,2022-09-22,1892
forth,2022-09-23,609
last,2022-09-20,391
first,2022-09-21,484
third,2022-09-27,1820
forth,2022-09-27,86
first,2022-09-26,295
second,2022-09-23,197
third,2022-09-25,511
last,2022-09-27,1773
forth,2022-09-23,244
last,2022-09-25,1546
last,2022-09-18,601
second,2022-09-22,316
forth,2022-09-27,1901
forth,2022-09-19,1923
third,2022-09-27,891
forth,2022-09-22,1112
last,2022-09-21,1351
first,2022-09-27,849
first,2022-09-23,1885
forth,2022-09-22,1703
second,2022-09-18,1576
last,2022-09-21,902
forth,2022-09-21,498
third,2022-09-25,863
second,2022-09-25,1097
third,2022-09-20,1445
last,2022-09-21,1815
second,2022-09-22,1761
last,2022-09-18,1429
last,2022-09-19,1768
forth,2022-09-22,1694
first,2022-09-18,1077
forth,2022-09-20,677
third,2022-09-26,1473
last,2022-09-24,1756
forth,2022-09-19,732
third,2022-09-27,362
last,2022-09-18,592
third,2022-09-22,1049
second,2022-09-18,1799
third,2022-09-21,1611
first,2022-09-25,485
second,2022-09-27,1995
third,2022-09-20,1596
forth,2022-09-21,1400
forth,2022-09-21,551
third,2022-09-26,82
first,2022-09-26,137
first,2022-09-25,1910
forth,2022-09-26,1948
forth,2022-09-23,1498
last,2022-09-24,1131
forth,2022-09-19,799
first,2022-09-26,1019
last,2022-09-18,1997
second,2022-09-20,805
second,2022-09-23,695
forth,2022-09-26,1200
third,2022-09-22,588
first,2022-09-22,1624
third,2022-09-22,637
third,2022-09-21,621
third,2022-09-24,1429
last,2022-09-23,1763
last,2022-09-21,611
third,2022-09-24,660
third,2022-09-23,1400
last,2022-09-22,568
third,2022-09-26,1005
third,2022-09-22,1576
last,2022-09-24,1714
last,2022-09-22,530
forth,2022-09-21,778
third,2022-09-25,262
first,2022-09-18,1843
last,2022-09-18,186
third,2022-09-23,1959
second,2022-09-27,756
second,2022-09-26,509
first,2022-09-21,1441
second,2022-09-26,367
first,2022-09-24,1928
last,2022-09-26,550
first,2022-09-19,1647
forth,2022-09-18,1961
second,2022-09-21,453
forth,2022-09-23,1101
forth,2022-09-18,1078
second,2022-09-23,611
third,2022-09-23,792
third,2022-09-18,1396
third,2022-09-27,1719
forth,2022-09-20,359
forth,2022-09-22,615
forth,2022-09-19,1232
first,2022-09-23,1939
last,2022-09-21,1128
first,2022-09-24,745
last,2022-09-18,1025
forth,2022-09-22,532
forth,2022-09-22,1696
second,2022-09-23,242
second,2022-09-26,1486
last,2022-09-26,1036
third,2022-09-23,1376
first,2022-09-25,1583
last,2022-09-27,1678
last,2022-09-18,212
second,2022-09-27,1976
third,2022-09-19,1183
last,2022-09-24,1514
first,2022-09-19,1331
third,2022-09-18,737
last,2022-09-21,1555
second,2022-09-26,1742
third,2022-09-21,1910
first,2022-09-19,988
last,2022-09-22,303
forth,2022-09-20,170
third,2022-09-27,1736
last,2022-09-20,71
third,2022-09-27,1652
first,2022-09-22,881
forth,2022-09-21,1426
first,2022-09-21,1411
second,2022-09-27,1978
forth,2022-09-26,1473
forth,2022-09-21,1008
first,2022-09-23,579
second,2022-09-19,1849
third,2022-09-22,1223
third,2022-09-22,369
second,2022-09-18,745
first,2022-09-19,527
third,2022-09-25,156
second,2022-09-26,1862
last,2022-09-18,1974
first,2022-09-23,1892
third,2022-09-23,1746
first,2022-09-19,920
third,2022-09-25,1281
third,2022-09-24,1557
second,2022-09-22,436
second,2022-09-18,1437
second,2022-09-20,374
forth,2022-09-19,775
second,2022-09-22,855
second,2022-09-23,1111
first,2022-09-24,1097
first,2022-09-18,40
first,2022-09-27,177
first,2022-09-25,766
second,2022-09-18,1041
third,2022-09-27,1700
third,2022-09-22,1161
third,2022-09-27,1105
second,2022-09-20,1508
forth,2022-09-19,1037
first,2022-09-22,1256
third,2022-09-23,762
third,2022-09-18,807
first,2022-09-25,1762
forth,2022-09-19,617
second,2022-09-19,870
first,2022-09-27,901
forth,2022-09-22,1868
first,2022-09-18,153
second,2022-09-27,379
forth,2022-09-23,1955
forth,2022-09-24,110
second,2022-09-20,812
first,2022-09-24,1147
first,2022-09-24,519
second,2022-09-26,158
last,2022-09-22,891
first,2022-09-25,1637
last,2022-09-21,1547
second,2022-09-19,1283
last,2022-09-20,1325
second,2022-09-20,1478
first,2022-09-24,75
forth,2022-09-27,1534
second,2022-09-23,113
first,2022-09-24,1522
forth,2022-09-25,239
third,2022-09-19,993
first,2022-09-24,65
second,2022-09-19,1419
last,2022-09-27,1541
last,2022-09-18,1591
second,2022-09-21,1239
forth,2022-09-25,805
third,2022-09-23,1879
last,2022-09-22,1360
forth,2022-09-24,1126
second,2022-09-26,644
second,2022-09-27,738
third,2022-09-23,12
forth,2022-09-20,611
second,2022-09-26,106
last,2022-09-19,758
second,2022-09-18,1615
forth,2022-09-23,1461
forth,2022-09-26,722
forth,2022-09-19,1835
forth,2022-09-24,219
third,2022-09-20,129
last,2022-09-23,36
first,2022-09-20,802
second,2022-09-19,1067
third,2022-09-22,1150
first,2022-09-27,184
forth,2022-09-24,509
forth,2022-09-20,1806
second,2022-09-24,424
forth,2022-09-24,1335
third,2022-09-24,1659
third,2022-09-20,160
forth,2022-09-26,1849
last,2022-09-19,121
third,2022-09-24,1904
forth,2022-09-27,354
third,2022-09-19,107
third,2022-09-19,1150
third,2022-09-24,1328
forth,2022-09-23,1143
third,2022-09-25,954
forth,2022-09-21,380
last,2022-09-19,841
third,2022-09-18,1906
forth,2022-09-26,1519
third,2022-09-22,1135
first,2022-09-27,1668
third,2022-09-21,1991
first,2022-09-19,1468
last,2022-09-21,1569
last,2022-09-26,2
third,2022-09-19,1140
second,2022-09-25,1881
second,2022-09-18,1714
forth,2022-09-24,1751
first,2022-09-18,1126
last,2022-09-19,1270
second,2022-09-18,755
third,2022-09-25,1319
forth,2022-09-25,674
forth,2022-09-20,1736
forth,2022-09-19,1961
third,2022-09-27,1716
second,2022-09-21,1114
third,2022-09-23,254
first,2022-09-24,1151
second,2022-09-23,1716
forth,2022-09-20,1631
forth,2022-09-21,1018
forth,2022-09-22,158
second,2022-09-27,175
first,2022-09-26,1540
forth,2022-09-26,1890
second,2022-09-27,670
last,2022-09-22,1850
forth,2022-09-18,580
forth,2022-09-27,410
first,2022-09-19,1324
first,2022-09-22,1660
first,2022-09-21,161
third,2022-09-18,54
first,2022-09-22,942
third,2022-09-25,697
second,2022-09-22,982
last,2022-09-19,1947
forth,2022-09-20,1099
third,2022-09-18,293
first,2022-09-19,974
second,2022-09-20,831
third,2022-09-20,1093
third,2022-09-20,1341
first,2022-09-21,1989
first,2022-09-19,1365
forth,2022-09-22,832
last,2022-09-19,600
first,2022-09-25,664
second,2022-09-25,157
third,2022-09-19,1023
third,2022-09-20,1956
third,2022-09-21,1770
second,2022-09-23,1145
forth,2022-09-23,1591
third,2022-09-27,207
forth,2022-09-20,426
third,2022-09-22,894
forth,2022-09-27,969
last,2022-09-24,907
second,2022-09-21,759
third,2022-09-18,1392
third,2022-09-23,1213
third,2022-09-23,105
last,2022-09-25,1193
first,2022-09-20,1234
second,2022-09-22,154
third,2022-09-24,1563
last,2022-09-27,844
last,2022-09-19,572
forth,2022-09-23,1053
third,2022-09-22,388
first,2022-09-23,1458
last,2022-09-23,1290
forth,2022-09-23,943
second,2022-09-23,1963
second,2022-09-18,658
first,2022-09-24,1949
second,2022-09-20,1333
last,2022-09-25,24
first,2022-09-19,1773
last,2022-09-25,1095
second,2022-09-27,455
last,2022-09-22,1785
second,2022-09-18,1629
forth,2022-09-24,1967
last,2022-09-26,574
forth,2022-09-25,1884
third,2022-09-24,1828
third,2022-09-27,1744
forth,2022-09-23,730
last,2022-09-18,218
last,2022-09-21,269
last,2022-09-20,201
first,2022-09-23,245
first,2022-09-19,1916
third,2022-09-27,1458
last,2022-09-20,526
third,2022-09-24,454
first,2022-09-19,1067
forth,2022-09-24,578
third,2022-09-22,1490
forth,2022-09-25,1655
third,2022-09-19,179
first,2022-09-22,1845
third,2022-09-23,1068
forth,2022-09-25,1474
last,2022-09-19,1496
forth,2022-09-25,1695
forth,2022-09-18,1557
third,2022-09-27,1110
first,2022-09-20,394
second,2022-09-20,1110
second,2022-09-24,1781
first,2022-09-27,522
second,2022-09-21,355
last,2022-09-18,1309
first,2022-09-21,994
forth,2022-09-26,1171
third,2022-09-18,1560
third,2022-09-25,1046
third,2022-09-24,289
last,2022-09-19,306
second,2022-09-23,24
second,2022-09-23,783
third,2022-09-22,769
third,2022-09-19,1083
last,2022-09-22,449
third,2022-09-22,1790
last,2022-09-21,1240
third,2022-09-23,186
forth,2022-09-24,155
forth,2022-09-27,718
first,2022-09-22,679
second,2022-09-23,1512
first,2022-09-19,1759
second,2022-09-22,1682
third,2022-09-19,1085
last,2022-09-22,1584
forth,2022-09-27,697
first,2022-09-26,1974
forth,2022-09-21,1984
forth,2022-09-26,647
second,2022-09-26,1565
first,2022-09-22,144
last,2022-09-20,608
forth,2022-09-20,1320
forth,2022-09-23,776
third,2022-09-24,1075
second,2022-09-18,742
forth,2022-09-22,82
forth,2022-09-19,123
last,2022-09-23,451
last,2022-09-23,622
second,2022-09-21,125
first,2022-09-27,1602
forth,2022-09-24,1288
third,2022-09-23,1733
first,2022-09-23,1416
forth,2022-09-24,1295
first,2022-09-22,965
third,2022-09-26,1714
second,2022-09-19,982
forth,2022-09-22,1895
first,2022-09-25,226
last,2022-09-24,22
last,2022-09-20,131
last,2022-09-26,555
first,2022-09-23,100
second,2022-09-20,100
last,2022-09-19,1195
second,2022-09-21,1616
last,2022-09-19,1353
forth,2022-09-26,109
last,2022-09-20,1807
second,2022-09-18,727
forth,2022-09-19,1238
last,2022-09-19,1967
second,2022-09-23,317
third,2022-09-27,1250
last,2022-09-19,1676
forth,2022-09-22,1771
first,2022-09-27,129
third,2022-09-18,457
forth,2022-09-23,318
third,2022-09-27,1642
forth,2022-09-23,944
second,2022-09-26,1184
first,2022-09-21,1798
last,2022-09-25,396
forth,2022-09-26,1816
forth,2022-09-21,171
third,2022-09-18,634
second,2022-09-20,404
third,2022-09-26,1090
third,2022-09-20,113
first,2022-09-25,1936
third,2022-09-26,620
second,2022-09-25,716
forth,2022-09-21,1584
first,2022-09-25,510
forth,2022-09-24,62
last,2022-09-20,1174
third,2022-09-21,1355
first,2022-09-25,1824
second,2022-09-20,276
third,2022-09-26,93
forth,2022-09-23,999
second,2022-09-25,979
last,2022-09-23,1850
third,2022-09-18,916
first,2022-09-20,345
forth,2022-09-27,29
first,2022-09-18,1160
last,2022-09-20,1377
second,2022-09-23,29
first,2022-09-26,98
first,2022-09-22,1572
last,2022-09-26,1863
third,2022-09-19,707
forth,2022-09-26,641
third,2022-09-22,831
last,2022-09-24,1836
third,2022-09-21,541
first,2022-09-21,1146
forth,2022-09-23,1358
last,2022-09-22,1947
third,2022-09-19,1517
second,2022-09-21,940
forth,2022-09-20,1618
second,2022-09-24,1925
second,2022-09-22,1613
second,2022-09-27,671
last,2022-09-20,494
last,2022-09-19,31
last,2022-09-20,1834
last,2022-09-26,1389
last,2022-09-26,1203
forth,2022-09-22,247
second,2022-09-19,1710
third,2022-09-26,221
second,2022-09-19,1548
last,2022-09-24,1283
second,2022-09-19,201
third,2022-09-20,1119
second,2022-09-21,663
forth,2022-09-18,752
first,2022-09-20,1866
first,2022-09-19,1983
forth,2022-09-25,261
last,2022-09-21,1148
forth,2022-09-25,1247
forth,2022-09-18,997
second,2022-09-20,1605
first,2022-09-26,1987
first,2022-09-26,651
last,2022-09-24,1399
first,2022-09-25,280
forth,2022-09-20,1278
first,2022-09-18,379
last,2022-09-23,1247
first,2022-09-24,151
second,2022-09-26,1600
last,2022-09-24,1174
third,2022-09-22,349
forth,2022-09-22,1791
third,2022-09-18,374
forth,2022-09-27,1520
third,2022-09-18,1958
last,2022-09-21,1889
forth,2022-09-22,1555
forth,2022-09-25,1139
last,2022-09-24,1912
forth,2022-09-25,1422
third,2022-09-20,930
last,2022-09-19,804
second,2022-09-19,1523
forth,2022-09-19,164
forth,2022-09-27,1442
second,2022-09-20,1804
last,2022-09-19,944
forth,2022-09-22,1061
first,2022-09-26,519
first,2022-09-23,865
last,2022-09-20,238
forth,2022-09-18,997
last,2022-09-20,370
third,2022-09-18,684
last,2022-09-23,1206
forth,2022-09-26,141
forth,2022-09-24,1266
second,2022-09-21,103
first,2022-09-24,1363
third,2022-09-27,1238
third,2022-09-18,398
forth,2022-09-19,1459
third,2022-09-18,635
last,2022-09-26,1885
third,2022-09-27,1988
second,2022-09-27,403
first,2022-09-24,460
last,2022-09-24,296
second,2022-09-21,637
first,2022-09-19,150
third,2022-09-27,680
third,2022-09-25,119
last,2022-09-24,1529
last,2022-09-26,866
first,2022-09-26,1660
forth,2022-09-27,1480
first,2022-09-24,1677
second,2022-09-24,424
third,2022-09-23,574
second,2022-09-22,1821
forth,2022-09-18,305
forth,2022-09-26,1457
second,2022-09-26,667
forth,2022-09-21,195
forth,2022-09-27,301
second,2022-09-27,1990
last,2022-09-25,1030
last,2022-09-24,459
third,2022-09-20,1102
last,2022-09-27,215
third,2022-09-21,872
second,2022-09-22,1869
last,2022-09-23,1284
third,2022-09-25,1134
forth,2022-09-24,976
last,2022-09-20,518
third,2022-09-22,1788
third,2022-09-27,1119
last,2022-09-23,780
third,2022-09-23,1659
last,2022-09-19,1347
third,2022-09-18,506
first,2022-09-21,631
last,2022-09-22,1114
last,2022-09-21,371
third,2022-09-23,90
forth,2022-09-25,253
forth,2022-09-25,825
second,2022-09-27,1627
forth,2022-09-27,1697
forth,2022-09-26,1640
first,2022-09-20,1120
forth,2022-09-22,1411
third,2022-09-18,133
last,2022-09-22,457
last,2022-09-23,1700
last,2022-09-22,1980
first,2022-09-22,119
first,2022-09-27,86
third,2022-09-21,1154
first,2022-09-24,406
last,2022-09-25,343
last,2022-09-27,1699
first,2022-09-27,1601
first,2022-09-24,462
second,2022-09-26,706
first,2022-09-23,1339
last,2022-09-18,1583
last,2022-09-25,1039
third,2022-09-22,553
forth,2022-09-27,170
last,2022-09-18,888
last,2022-09-24,555
third,2022-09-26,556
last,2022-09-23,837
first,2022-09-19,169
forth,2022-09-23,550
forth,2022-09-20,1576
last,2022-09-27,536
second,2022-09-21,1072
third,2022-09-23,704
last,2022-09-24,356
third,2022-09-19,594
forth,2022-09-20,822
first,2022-09-19,1239
third,2022-09-20,924
first,2022-09-27,1011
third,2022-09-23,1759
last,2022-09-23,1005
second,2022-09-24,1196
forth,2022-09-21,1577
second,2022-09-21,1533
last,2022-09-25,1767
last,2022-09-27,1181
third,2022-09-20,1175
last,2022-09-27,302
last,2022-09-23,18
second,2022-09-20,1573
first,2022-09-20,1599
first,2022-09-19,899
second,2022-09-18,163
second,2022-09-20,1428
second,2022-09-27,979
last,2022-09-21,884
first,2022-09-18,803
forth,2022-09-23,202
second,2022-09-27,1740
forth,2022-09-25,189
third,2022-09-21,897
last,2022-09-24,340
first,2022-09-18,613
last,2022-09-27,1977
third,2022-09-23,624
last,2022-09-23,1061
first,2022-09-25,261
third,2022-09-21,1715
second,2022-09-25,147
second,2022-09-18,1140
third,2022-09-25,720
third,2022-09-25,1594
third,2022-09-27,478
forth,2022-09-25,1762
second,2022-09-20,952
first,2022-09-22,1794
second,2022-09-24,524
second,2022-09-25,145
first,2022-09-23,1344
last,2022-09-23,1668
third,2022-09-18,23
third,2022-09-18,1667
last,2022-09-27,1339
last,2022-09-27,757
third,2022-09-18,1304
forth,2022-09-24,293
last,2022-09-19,721
forth,2022-09-18,1635
second,2022-09-18,1370
last,2022-09-23,1735
second,2022-09-22,249
first,2022-09-21,690
forth,2022-09-24,35
forth,2022-09-25,1626
second,2022-09-21,867
first,2022-09-18,1962
last,2022-09-23,565
last,2022-09-22,1630
first,2022-09-25,1245
forth,2022-09-21,1263
third,2022-09-19,432
forth,2022-09-27,1757
forth,2022-09-26,837
third,2022-09-27,1589
first,2022-09-20,253
last,2022-09-27,1041
first,2022-09-24,1876
first,2022-09-20,1877
first,2022-09-23,1336
first,2022-09-24,152
third,2022-09-23,1917
second,2022-09-22,423
third,2022-09-19,1932
second,2022-09-25,641
forth,2022-09-22,1938
first,2022-09-24,1474
forth,2022-09-18,1730
first,2022-09-20,774
second,2022-09-23,1889
forth,2022-09-24,35
third,2022-09-20,954
second,2022-09-18,150
forth,2022-09-23,268
second,2022-09-18,1029
first,2022-09-21,1610
third,2022-09-26,1510
forth,2022-09-27,1355
last,2022-09-19,1086
third,2022-09-22,1627
second,2022-09-27,1171
second,2022-09-20,1073
last,2022-09-25,316
last,2022-09-20,60
forth,2022-09-21,1006
second,2022-09-26,1235
second,2022-09-19,1909
second,2022-09-20,1014
first,2022-09-23,1972
last,2022-09-20,19
first,2022-09-25,93
forth,2022-09-27,635
first,2022-09-19,394
last,2022-09-18,330
second,2022-09-22,1610
forth,2022-09-24,275
third,2022-09-19,949
third,2022-09-26,1768
third,2022-09-22,163
third,2022-09-25,473
first,2022-09-25,589
first,2022-09-27,1851
second,2022-09-20,394
first,2022-09-24,459
forth,2022-09-23,24
first,2022-09-20,1658
second,2022-09-19,630
first,2022-09-20,1917
second,2022-09-18,332
forth,2022-09-18,1855
second,2022-09-25,97
second,2022-09-24,1665
first,2022-09-23,1859
second,2022-09-25,1159
third,2022-09-18,1014
forth,2022-09-25,521
first,2022-09-24,1697
forth,2022-09-24,162
last,2022-09-21,1161
last,2022-09-23,121
first,2022-09-23,1930
third,2022-09-26,282
first,2022-09-26,1540
second,2022-09-27,1003
last,2022-09-22,1829
third,2022-09-21,1863
forth,2022-09-27,1355
second,2022-09-19,548
first,2022-09-27,1108
forth,2022-09-24,1553
third,2022-09-19,1778
last,2022-09-26,1824
third,2022-09-27,1711
second,2022-09-21,367
third,2022-09-24,694
forth,2022-09-23,933
forth,2022-09-18,1973
last,2022-09-18,196
third,2022-09-22,1001
forth,2022-09-22,1008
second,2022-09-22,1588
first,2022-09-23,1621
last,2022-09-18,1181
last,2022-09-20,513
first,2022-09-26,658
last,2022-09-25,1239
forth,2022-09-24,1310
last,2022-09-21,1718
second,2022-09-18,157
second,2022-09-18,945
second,2022-09-20,1970
second,2022-09-24,1439
first,2022-09-23,1735
second,2022-09-19,428
last,2022-09-27,1441
second,2022-09-27,876
second,2022-09-19,12
second,2022-09-24,202
forth,2022-09-18,526
second,2022-09-25,1470
first,2022-09-24,730
last,2022-09-24,566
last,2022-09-21,1268
last,2022-09-23,493
last,2022-09-26,84
forth,2022-09-26,1453
last,2022-09-26,1311
first,2022-09-19,1952
third,2022-09-23,907
forth,2022-09-25,809
first,2022-09-27,1392
first,2022-09-24,1826
first,2022-09-25,1996
forth,2022-09-24,1035
first,2022-09-26,453
forth,2022-09-21,1875
forth,2022-09-25,1085
last,2022-09-20,283
second,2022-09-23,1113
second,2022-09-19,450
second,2022-09-23,1982
forth,2022-09-26,974
last,2022-09-27,253
first,2022-09-20,1224
forth,2022-09-24,794
third,2022-09-23,1729
first,2022-09-27,1552
first,2022-09-26,1899
forth,2022-09-19,471
second,2022-09-20,508
third,2022-09-18,380
forth,2022-09-20,1821
first,2022-09-18,1581
third,2022-09-27,115
first,2022-09-24,1295
third,2022-09-23,202
last,2022-09-19,1424
first,2022-09-18,1762
forth,2022-09-27,853
third,2022-09-21,366
forth,2022-09-20,847
second,2022-09-23,1448
second,2022-09-18,1482
second,2022-09-18,676
third,2022-09-18,257
forth,2022-09-20,77
forth,2022-09-27,603
last,2022-09-20,1625
first,2022-09-24,1669
third,2022-09-18,1041
second,2022-09-18,1124
last,2022-09-22,292
first,2022-09-27,725
first,2022-09-23,855
last,2022-09-18,802
third,2022-09-23,162
third,2022-09-20,1488
second,2022-09-26,1347
last,2022-09-23,787
forth,2022-09-21,1754
first,2022-09-25,1115
third,2022-09-26,1508
third,2022-09-27,341
third,2022-09-19,489
forth,2022-09-20,1398
forth,2022-09-22,1375
last,2022-09-25,856
forth,2022-09-24,1629
second,2022-09-25,1396
third,2022-09-25,976
first,2022-09-18,1730
first,2022-09-25,719
first,2022-09-26,1770
second,2022-09-19,836
first,2022-09-19,973
last,2022-09-24,1405
second,2022-09-23,769
last,2022-09-18,172
last,2022-09-22,1239
first,2022-09-20,1724
first,2022-09-25,1715
second,2022-09-23,1286
last,2022-09-26,1505
second,2022-09-27,1726
forth,2022-09-18,123
third,2022-09-23,946
last,2022-09-19,295
second,2022-09-24,91
last,2022-09-25,813
second,2022-09-24,1391
second,2022-09-23,425
first,2022-09-27,1326
third,2022-09-19,1997
forth,2022-09-24,212
third,2022-09-27,927
first,2022-09-25,1500
second,2022-09-19,1004
first,2022-09-20,1346
second,2022-09-21,547
last,2022-09-27,75
forth,2022-09-27,1854
second,2022-09-24,1989
last,2022-09-18,1387
second,2022-09-21,33
last,2022-09-21,1877
third,2022-09-23,958
third,2022-09-27,1522
second,2022-09-25,635
first,2022-09-18,1702
first,2022-09-24,1881
forth,2022-09-22,164
last,2022-09-20,338
first,2022-09-25,704
third,2022-09-25,713
third,2022-09-20,1396
third,2022-09-21,44
second,2022-09-25,1240
second,2022-09-24,1132
second,2022-09-26,1459
first,2022-09-22,270
last,2022-09-25,1420
third,2022-09-19,1055
last,2022-09-19,848
last,2022-09-18,1803
first,2022-09-26,727
forth,2022-09-26,1795
second,2022-09-25,1013
forth,2022-09-19,973
last,2022-09-23,776
last,2022-09-21,1523
last,2022-09-26,1815
first,2022-09-22,1852
forth,2022-09-18,562
last,2022-09-25,241
second,2022-09-18,669
third,2022-09-23,1428
first,2022-09-25,1922
forth,2022-09-20,1270
first,2022-09-23,859
forth,2022-09-19,833
first,2022-09-26,1048
last,2022-09-24,713
last,2022-09-22,284
third,2022-09-26,790
forth,2022-09-22,1752
second,2022-09-20,1532
first,2022-09-27,1917
first,2022-09-26,40
third,2022-09-18,164
forth,2022-09-19,912
first,2022-09-24,1674
second,2022-09-22,318
third,2022-09-26,1879
last,2022-09-22,247
second,2022-09-19,1245
forth,2022-09-26,651
last,2022-09-21,1626
third,2022-09-18,942
last,2022-09-18,1011
last,2022-09-24,1016
second,2022-09-25,631
second,2022-09-19,544
first,2022-09-18,1501
last,2022-09-24,567
forth,2022-09-21,887
last,2022-09-26,1637
first,2022-09-22,1928
forth,2022-09-23,665
second,2022-09-24,330
third,2022-09-23,755
last,2022-09-27,1791
last,2022-09-26,1868
first,2022-09-23,118
second,2022-09-19,1841
last,2022-09-25,1018
first,2022-09-19,128
first,2022-09-20,765
forth,2022-09-22,1431
last,2022-09-20,1112
third,2022-09-24,1354
second,2022-09-22,1300
first,2022-09-22,1606
first,2022-09-27,642
forth,2022-09-23,555
last,2022-09-26,877
forth,2022-09-21,425
third,2022-09-25,1866
third,2022-09-27,1127
first,2022-09-18,1058
forth,2022-09-24,21
second,2022-09-20,1209
forth,2022-09-18,1310
forth,2022-09-27,1163
third,2022-09-21,685
first,2022-09-22,819
third,2022-09-20,813
last,2022-09-27,1785
third,2022-09-18,1608
second,2022-09-19,1396
forth,2022-09-23,1908
third,2022-09-20,1755
forth,2022-09-24,1181
second,2022-09-20,143
third,2022-09-27,1392
second,2022-09-19,1826
last,2022-09-18,1016
first,2022-09-23,1540
first,2022-09-20,1139
second,2022-09-23,1073
first,2022-09-24,921
forth,2022-09-24,1625
third,2022-09-18,123
last,2022-09-22,1423
second,2022-09-20,755
third,2022-09-25,1728
third,2022-09-24,807
last,2022-09-18,291
forth,2022-09-21,94
first,2022-09-21,352
first,2022-09-27,1189
second,2022-09-21,58
forth,2022-09-21,1646
first,2022-09-19,396
third,2022-09-20,1081
second,2022-09-27,1902
second,2022-09-26,489
last,2022-09-26,1903
forth,2022-09-26,1646
first,2022-09-24,1905
third,2022-09-23,1385
third,2022-09-22,1160
third,2022-09-18,426
last,2022-09-25,1454
third,2022-09-22,984
third,2022-09-25,344
forth,2022-09-19,923
forth,2022-09-27,471
first,2022-09-19,1602
last,2022-09-26,221
second,2022-09-23,255
first,2022-09-25,885
second,2022-09-23,1843
third,2022-09-27,1343
second,2022-09-21,1575
last,2022-09-22,531
second,2022-09-18,1886
third,2022-09-24,563
last,2022-09-26,1291
second,2022-09-24,1477
third,2022-09-27,28
forth,2022-09-24,1749
last,2022-09-25,1409
third,2022-09-19,942
forth,2022-09-20,274
first,2022-09-22,20
forth,2022-09-26,1479
last,2022-09-20,572
second,2022-09-27,738
first,2022-09-25,1038
third,2022-09-18,1263
forth,2022-09-21,963
forth,2022-09-22,1790
last,2022-09-19,802
second,2022-09-24,840
first,2022-09-18,441
last,2022-09-23,467
second,2022-09-25,952
second,2022-09-21,1370
forth,2022-09-22,1325
first,2022-09-25,231
second,2022-09-26,740
second,2022-09-25,1307
forth,2022-09-25,229
first,2022-09-27,1834
forth,2022-09-19,1311
last,2022-09-18,1275
second,2022-09-21,1649
second,2022-09-20,1511
third,2022-09-21,1746
second,2022-09-25,809
first,2022-09-23,227
second,2022-09-24,1829
third,2022-09-22,697
third,2022-09-18,888
forth,2022-09-22,262
last,2022-09-22,494
forth,2022-09-26,856
third,2022-09-24,1483
first,2022-09-21,1784
first,2022-09-24,1207
last,2022-09-22,330
third,2022-09-22,227
third,2022-09-18,1079
second,2022-09-20,1471
forth,2022-09-19,104
second,2022-09-22,1482
last,2022-09-24,81
last,2022-09-26,1113
first,2022-09-21,1628
third,2022-09-20,353
third,2022-09-23,604
third,2022-09-24,620
second,2022-09-21,267
second,2022-09-21,1849
first,2022-09-27,1238
last,2022-09-26,165
second,2022-09-20,1852
first,2022-09-25,1450
last,2022-09-23,1544
forth,2022-09-24,1679
forth,2022-09-23,1030
third,2022-09-24,89
last,2022-09-26,1935
first,2022-09-19,1387
forth,2022-09-18,1953
third,2022-09-19,368
third,2022-09-20,1480
third,2022-09-19,1123
last,2022-09-18,1475
first,2022-09-23,1245
forth,2022-09-22,320
last,2022-09-20,699
second,2022-09-23,800
first,2022-09-18,778
forth,2022-09-22,1911
first,2022-09-23,1287
last,2022-09-27,342
last,2022-09-23,693
first,2022-09-22,438
third,2022-09-26,1869
second,2022-09-24,1680
second,2022-09-26,1436
first,2022-09-27,967
second,2022-09-23,1272
first,2022-09-25,1717
third,2022-09-23,1244
first,2022-09-24,643
third,2022-09-24,889
forth,2022-09-22,586
last,2022-09-20,1453
first,2022-09-21,194
first,2022-09-18,806
third,2022-09-27,1605
first,2022-09-23,1030
second,2022-09-22,1895
forth,2022-09-18,1660
third,2022-09-26,1948
first,2022-09-21,1051
last,2022-09-26,875
forth,2022-09-27,1534
second,2022-09-18,1896
second,2022-09-25,670
